bir_shveika;Район Швейка в Биробиджане;1092_52.0, 1078_20.0, 1104_6.0;;;;;;
bir_shveinaya_fabrika;Швейная фабрика в Биробиджане;1092_56.0, 1104_13.0, 1104_6.0, 1105_117.0;;;;;;
bir_simxa;Ресторан еврейской кухни Симха в Биробиджане;1092_24.0, 1100_69.0, 1103_38.0, 1093_147.0;;;;;;
bir_sinagoga;Синагога Бейт Тшува;1092_1.0, 1100_11.0, 1100_12.0, 1100_2.0, 1100_23.0, 1100_4.0, 1100_46.0, 1103_22.0, 1110_35.0, 1110_39.0, 1110_50.0, 1104_47.0, 1116_81.0, 1123_52.0;;;;;;
bir_skver_u_meria;Сквер у мэрии в Биробиджане;1092_66.0;;;;;;
bir_slava;Район Слава в Биробиджане (за мостом);1078_20.0;;;;;;
bir_sopka;Сопка;1093_148.0, 1110_38.0, 1126_13.0, 1105_100.0, 1102_56.0, 1096_26.0;;;;;;
bir_street_gorky;Улица Горького в Биробиджане (бывш. Френкеля);1092_55.0;;;;;;
bir_street_len;Улица Ленина в Биробиджане;1092_54.0, 1094_62.0, 1126_18.0;;;;;;
bir_street_sholom;Улица Шолом-Алейхема в Биробиджане;1092_54.0, 1123_35.0;;;;;;
bir_street_teatr;Переулок Театральный в Биробиджане;1092_64.0;;;;;;
bir_street_vol;Улица Волочаевская;1092_15.0;;;;;;
bir_television_vishka;Телевизионная вышка в Биробиджане;1094_108.0, 1094_109.0, 1126_13.0, 1106_34.0;;;;;;
bir_theatr_kogelet;Театр Когелет в Биробиджане;1103_20.0, 1094_41.0, 1126_44.0;;;;;;
bir_theatr_kudesnik;Кукольный театр Кудесник в Биробиджане;1104_13.0;;;;;;
bir_torg;Рынок в Биробиджане;1094_110.0;;;;;;
bir_vokzal;ЖД Вокзал в Биробиджане;1092_39.0, 1092_49.0, 1092_56.0, 1094_66.0, 1126_13.0;;;;;;
bir_vokzal_bibl;Библиотека на вокзале в Биробиджане (не сохр., возможно совр. Буккроссинг);1092_62.0;;;;;;
bir_vokzal_rest;Ресторан на вокзале в Биробиджане;1092_62.0, 1078_44.0, 1116_78.0;;;;;;
bir_vost_pos;Восточный поселок;1092_15.0;;;;;;
bira;Поселок Бира;1106_3.0, 1106_6.0;;;;;;
birakan;Биракан;1092_13.0, 1078_5.0, 1123_1.0, 1106_48.0;;;;;;
birakan_kolxoz;Колхоз Новая жизнь в Биракане;1092_2.0;;;;;;
birakan_pekarnya;Пекарня в Биракане;1092_14.0;;;;;;
birofeld;Бирофельд;1107_9.0, 1107_23.0, 1116_11.0, 1102_16.0, 1108_6.0, 1096_27.0;;;;;;
birofeld_school;Школа в селе Бирофельд;1107_7.0, 1107_13.0, 1107_24.0;;;;;;
blagoslovennoe;Село Благословенное;1119_1.0, 1119_2.0;;;;;;
blagovechensk;Благовещенск;1106_15.0;;;;;;
blagovechensk_selhos;Сельскохозяйственный институт в Благовещенске;1098_11.0;;;;;;
dalselmash;Поселок Дальсельмаш;1092_51.0, 1078_2.0, 1078_35.0, 1078_4.0, 1123_11.0;;;;;;
dalselmash_stadion;Стадион Дальсельмаш;1078_39.0;;;;;;
dimitrovo;Димитрово;1104_42.0, 1104_43.0;;;;;;
eao;Еврейская автономная область;1099_1.0, 1099_11.0, 1099_5.0, 1089_10.0, 1089_11.0, 1078_30.0, 1078_32.0, 1078_34.0, 1100_33.0, 1100_53.0, 1100_63.0, 1103_24.0, 1103_25.0, 1103_28.0, 1103_3.0, 1093_102.0, 1093_109.0, 1093_146.0, 1093_19.0, 1093_95.0, 1094_17.0, 1098_2.0, 1098_35.0, 1098_57.0, 1087_3.0, 1087_7.0, 1087_18.0, 1087_55.0, 1110_3.0, 1110_4.0, 1110_8.0, 1110_15.0, 1110_16.0, 1110_62.0, 1110_90.0, 1107_7.0, 1107_14.0, 1107_15.0, 1107_16.0, 1107_22.0, 1107_26.0, 1107_28.0, 1126_2.0, 1126_3.0, 1126_6.0, 1126_7.0, 1126_8.0, 1126_9.0, 1126_15.0, 1126_16.0, 1126_17.0, 1126_20.0, 1126_23.0, 1126_24.0, 1126_28.0, 1126_29.0, 1126_38.0, 1104_14.0, 1104_18.0, 1104_29.0, 1116_9.0, 1116_15.0, 1123_4.0, 1123_63.0, 1105_32.0, 1105_34.0, 1105_110.0, 1102_21.0, 1102_59.0, 1102_61.0,  1102_63.0, 1119_19.0, 1120_7.0, 1120_55.0, 1106_5.0, 1106_15.0, 1106_42.0, 1115_4.0, 1115_32.0, 1096_10.0, 1096_11.0, 1096_54.0, 1096_55.0, 1096_56.0, 1096_58.0, 1096_60.0;;;;;;
evpatoria;Евпатория;1104_1.0;;;;;;
gomel;Гомель - город в Белоруссии;1078_5.0;;;;;;
israel;Израиль;1093_19.0, 1098_20.0, 1087_3.0, 1110_29.0, 1110_30.0, 1126_38.0, 1116_71.0, 1105_87.0, 1119_19.0, 1120_6.0, 1108_32.0;;;;;;
izvestkovaya;Поселок Известковая;1092_6.0;;;;;;
kamenets_podolsk;Каменец-Подольский город на Украине;1123_1.0;;;;;;
khabarovsk;Хабаровск;1099_1.0, 1099_10.0, 1099_11.0, 1099_5.0, 1110_3.0, 1126_20.0, 1106_15.0;;;;;;
khabarovsk_ped_institute;Педагогический институт в Хабаровске;1103_2.0, 1094_29.0, 1120_53.0;;;;;;
khabarovsk_politex;Политехнический институт в Хабаровске;1098_12.0;;;;;;
khabarovsk_uch_mekh;Училище механизации сельского хозяйства в Хабаровске;1089_15.0;;;;;;
kom_amur_ped_inst;Педагогический институт в Комсомольске-на-Амуре;1092_0.0, 1092_36.0;;;;;;
krym;Крым;1092_2.0;;;;;;
kukelevo;Село Кукелево;1120_1.0;;;;;;
kuldur;Село. Курорт ЕАО;1093_154.0, 1126_26.0, 1123_96.0, 1119_27.0, 1106_45.0, 1106_54.0;;;;;;
mogilev_podolsky;Могилев-Подольский - город на Украине;1089_0.0, 1108_6.0;;;;;;
moscow_rudn;Университет Дружбы Народов в Москве;1126_15.0;;;;;;
nikolaev;Николаев;1092_2.0, 1105_32.0, 1117_2.0;;;;;;
obluchie;Облучье;1089_13.0, 1105_101.0;;;;;;
odessa;Одесса;1116_40.0, 1108_36.0, 1096_11.0, 1096_16.0;;;;;;
raichihinsk;Райчихинск;1120_2.0;;;;;;
rasdolnoe;Село Раздольное;1120_25.0;;;;;;
rasdolnoe_mon;Иннокентиевский женский монастырь в селе Раздольное;1120_20.0;;;;;;
reka_bira;Набережная реки Бира в Биробиджане;1092_63.0, 1103_33.0, 1087_28.0, 1119_26.0, 1096_75.0;;;;;;
riga;Рига;1100_8.0;;;;;;
sahalin;Сахалин;1106_15.0;;;;;;
siberia;Сибирь;1126_2.0;;;;;;
sotzgorodok;Соцгородок;1100_10.0;;;;;;
stavropol;Ставрополь;1119_0.0, 1119_4.0;;;;;;
teploozersk;Поселок Теплоозерск;1092_6.0, 1089_14.0, 1106_41.0;;;;;;
tukalev_pos;Тукалевский поселок;1092_53.0;;;;;;
ukraina;Украина;1103_3.0, 1094_17.0, 1110_15.0, 1107_14.0, 1107_15.0, 1104_2.0, 1104_14.0, 1123_4.0, 1102_36.0, 1106_6.0, 1115_0.0, 1096_10.0;;;;;;
vald;Валдгейм;1099_0.0, 1099_10.0, 1099_3.0, 1100_47.0, 1098_1.0, 1098_20.0, 1098_22.0, 1098_7.0, 1098_8.0, 1096_2.0, 1096_4.0, 1096_49.0, 1096_56.0, 1096_70.0, 1096_76.0, 1096_78.0, 1096_79.0, 1117_2.0;;;;;;
vald_kolxoz;Колхоз Заветы Ильича в Валдгейме;1099_0.0, 1098_14.0, 1098_15.0, 1098_25.0, 1098_6.0, 1098_7.0 ;;;;;;
vald_museum;Музей в Валдгейме;1100_49.0;;;;;;
vald_sinagoga;Синагога в Валдгейме (сейчас нет);1100_42.0, 1100_43.0;;;;;;
vitebsk;Витебск - город в Белоруссии;1105_32.0, 1105_110.0, 1115_0.0;;;;;;
vladivostok;Владивосток;1106_15.0;;;;;;
londoko;поселок Лондоко;1106_41.0;;;;;;
birofeld_voda;Бирофельдское водохранилище;1106_44.0;;;;;;
bastak;Заповедник Бастак;1106_53.0;;;;;;
kamen_monah;Вулкан Камень Монах;1106_53.0;;;;;;
olkhovatka;село Ольховатка Украина;1096_0.0;;;;;;
latvia;Латвия;1117_2.0;;;;;;
